id count used expiration productId bagId 
'1' '3' '0' '2023-01-31' '1' '1' 
'2' '1' '0' '2023-04-20' '2' '1' 
'3' '1' '0' '2022-11-30' '3' '1' 
'4' '1' '0' '2025-06-30' '4' '1' 
'5' '2' '0' '2024-04-30' '5' '1' 
'7' '3' '0' '2024-03-31' '1' '2' 
'8' '4' '0' '2023-05-24' '3' '2' 
'9' '3' '0' '2024-10-31' '5' '2' 
'35' '1' '1' '2022-02-21' '6' '2' 
'11' '1' '0' '2022-04-16' '7' '2' 
'32' '3' '0' '2022-05-31' '1' '3' 
'13' '3' '0' '2023-09-22' '8' '3' 
'14' '1' '0' '2022-12-21' '9' '3' 
'15' '1' '0' '2022-07-31' '10' '3' 
'16' '2' '0' '2022-06-30' '11' '3' 
'17' '1' '0' '2024-04-06' '12' '3' 
'18' '1' '0' '2024-02-23' '13' '3' 
'19' '2' '0' '2023-08-01' '14' '3' 
'33' '1' '1' '2022-05-31' '1' '3' 
'23' '4' '0' '2023-11-24' '15' '4' 
'24' '4' '0' '2023-11-25' '16' '4' 
'25' '2' '0' '2024-04-01' '17' '4' 
'26' '2' '0' '2024-05-01' '18' '4' 
'27' '2' '0' '2024-04-26' '19' '4' 
'28' '1' '0' '2025-06-30' '20' '4' 
'29' '3' '0' '2023-12-01' '21' '4' 
'30' '1' '0' null '22' '4' 
'34' '1' '0' '2023-01-28' '23' '2' 
'36' '1' '0' '2022-03-07' '24' '2' 
'37' '1' '0' '2022-03-28' '6' '2' 
'38' '1' '0' '2022-03-18' '25' '2' 
'39' '1' '0' '2024-07-09' '15' '2' 
'40' '1' '0' '2024-05-01' '26' '2' 
'42' '4' '0' '2024-03-19' '16' '5' 
'43' '2' '0' '2024-04-26' '19' '5' 
'44' '2' '0' '2024-06-01' '18' '5' 
'45' '2' '0' '2025-06-28' '4' '5' 
'46' '2' '0' '2023-11-30' '27' '5' 
'47' '1' '0' '2023-11-30' '28' '5' 
'48' '1' '0' '2023-08-31' '29' '5' 
'49' '1' '0' null '22' '5' 
'50' '1' '0' null '30' '5' 
'51' '1' '0' '2023-02-01' '20' '5' 
'52' '1' '0' '2023-09-30' '14' '5' 
'53' '1' '0' null '22' '2' 
