id productId categoryId
'1' '1' '1'
'2' '1' '2'
'3' '2' '3'
'4' '3' '4'
'5' '4' '5'
'6' '5' '1'
'7' '5' '2'
'8' '8' '1'
'9' '9' '6'
'10' '11' '7'
'11' '12' '8'
'12' '13' '8'
'13' '14' '9'
'14' '15' '1'
'15' '15' '3'
'16' '16' '1'
'17' '16' '3'
'18' '17' '1'
'19' '17' '10'
'20' '18' '1'
'21' '18' '11'
'22' '19' '1'
'23' '19' '12'
'24' '20' '13'
'25' '20' '14'
'26' '21' '1'
'27' '21' '15'
'28' '22' '16'
'29' '22' '17'
'30' '23' '14'
'31' '24' '18'
'32' '26' '19'
'33' '27' '1'
'34' '27' '20'
'35' '28' '11'
'36' '28' '1'
'37' '29' '1'
'38' '29' '21'
'39' '30' '16' 
